Model,Preprocessing mode,Normalization,Probe / Regressor,MAE,RMSE,Median AE,P95 AE,Catastrophic error >20 bpm,n_windows
pulseppg,model_faithful,causal_running_zscore,random_forest,6.8605832864069,11.328713593680858,3.734407402178533,25.545960351605213,0.07980605425239157,7631
pulseppg,model_faithful,per_window_zscore,ridge,8.050784000037083,12.497685354886125,4.866048471678127,27.914928906171873,0.09212423011400865,7631
pulseppg,model_faithful,none,ridge,8.050996927346887,12.4975014935062,4.865529638134376,27.91278893151759,0.09212423011400865,7631
pulseppg,model_faithful,person_specific_zscore,ridge,8.052584090634392,12.498605465780688,4.873900733745316,27.946549002318363,0.09225527453806841,7631
pulseppg,model_faithful,causal_running_zscore,ridge,8.053343323482201,12.500113727688836,4.873736634548436,27.941151567839064,0.09225527453806841,7631
pulseppg,model_faithful,per_window_zscore,linear,8.139044949627655,12.569079290997497,4.9826813131531225,28.15860322939062,0.0931725855064867,7631
pulseppg,model_faithful,none,linear,8.139204041081163,12.568951460509062,4.996659935574996,28.182873772814062,0.0931725855064867,7631
pulseppg,model_faithful,person_specific_zscore,linear,8.140313319761145,12.56946190228767,4.988625164314058,28.18993390224375,0.09264840781024768,7631
pulseppg,model_faithful,causal_running_zscore,linear,8.142237960339779,12.571822076943663,5.006091954579688,28.16881895495938,0.09304154108242695,7631
papagei,model_faithful,per_window_zscore,ridge,11.462122270495025,16.568073698868492,8.084515074270314,35.85054798417226,0.14074171144017822,7631
papagei,model_faithful,per_window_zscore,random_forest,11.470994376317266,16.4607430678308,8.16808298409677,35.66720615621573,0.13890708950334163,7631
papagei,model_faithful,per_window_zscore,linear,11.528971521817729,16.78046551966988,8.11719068950859,36.04860566869101,0.13995544489581968,7631
