activity,n_windows,classical_MAE,foundation_MAE,oracle_MAE,mean_error_gap_classical_minus_foundation,median_error_gap_classical_minus_foundation,classical_win_rate,foundation_win_rate,tie_rate,oracle_gain_vs_best_single_MAE
jogging,280,29.19484176974473,14.368502255690421,12.356245842774502,14.826339514054313,14.084595987438078,0.24642857142857144,0.7535714285714286,0.0,2.012256412915919
running,277,40.42880373922741,27.57993973349586,21.58813679489189,12.848864005731558,11.754972241172624,0.41155234657039713,0.5884476534296029,0.0,5.991802938603968
tsst-speech,435,8.392563526075078,5.195081806246757,3.7367861380599376,3.197481719828322,0.815648389716074,0.4114942528735632,0.5885057471264368,0.0,1.4582956681868198
rest-4,280,11.207423121871738,8.152659379292517,5.502415378057911,3.0547637425792202,-0.39771491663160674,0.5357142857142857,0.4642857142857143,0.0,2.650244001234606
walking,278,18.597079151390833,16.48371650129635,10.030916279151027,2.1133626500944875,-2.235729645758581,0.5287769784172662,0.4712230215827338,0.0,6.4528002221453225
ssst-sing,59,11.396150159296031,9.933052242259109,7.491386679266119,1.4630979170369234,0.11566365813057189,0.4915254237288136,0.5084745762711864,0.0,2.4416655629929895
tsst-prep,430,4.923936854530837,4.426967991593948,2.85745229699566,0.49696886293688874,-0.2110197671262597,0.5186046511627908,0.4813953488372093,0.0,1.5695156945982878
rest-3,283,3.999353701375275,3.7414375882757587,2.8445282106322645,0.25791611309951623,0.09280152048997081,0.47703180212014135,0.5229681978798587,0.0,0.8969093776434942
meditation-2,731,4.408903644103006,4.260817380600086,2.7014998649353372,0.14808626350292017,-0.38499376096164895,0.5581395348837209,0.4418604651162791,0.0,1.5593175156647487
meditation-1,735,3.2886069511791134,3.172215027867723,2.0623145190864083,0.11639192331139073,0.01756386733731574,0.49387755102040815,0.5061224489795918,0.0,1.1099005087813145
baseline,427,2.6900179085786586,2.7278766081977186,1.6364921433830486,-0.03785869961906009,-0.07678374463752391,0.5269320843091335,0.47306791569086654,0.0,1.05352576519561
rest-1,279,3.5080249631573523,3.566914274315455,2.383495679975387,-0.05888931115810235,-0.2825125823192991,0.5519713261648745,0.44802867383512546,0.0,1.1245292831819653
adaptation,740,2.2054344916092496,2.2646771675125277,1.4117422657201808,-0.05924267590327803,0.06263708463006878,0.4891891891891892,0.5108108108108108,0.0,0.7936922258890688
standing,429,6.216483430405665,6.2860564482944215,3.1371311816380496,-0.06957301788875692,-0.7656053896302817,0.6013986013986014,0.3986013986013986,0.0,3.0793522487676155
screen-reading,428,3.1300843726276644,3.311220963032446,1.959640091511461,-0.18113659040478136,-0.4973785028414355,0.572429906542056,0.42757009345794394,0.0,1.1704442811162035
rest-2,285,3.8022361979490755,4.511173176553713,2.4433160245632704,-0.7089369786046377,-0.8099301655298776,0.6105263157894737,0.3894736842105263,0.0,1.3589201733858052
mobile-typing,430,3.724462748536437,4.965808711609516,2.5625864885752847,-1.241345963073079,-0.45667738019590587,0.5697674418604651,0.43023255813953487,0.0,1.1618762599611525
rest-5,338,12.166400171486533,13.845080472669817,9.253746520997277,-1.6786803011832847,-0.5898013827972568,0.5798816568047337,0.42011834319526625,0.0,2.912653650489256
ssst-prep,54,3.5310694877982507,6.1236538547217645,3.3214121383763575,-2.5925843669235116,-1.9752485180908719,0.8518518518518519,0.14814814814814814,0.0,0.20965734942189318
keyboard-typing,431,10.116264881346472,13.578863549179284,7.535381230857081,-3.462598667832812,-3.468481370010594,0.6496519721577726,0.3503480278422274,0.0,2.5808836504893913
