participant_id,method,feature_set,routing_type,n_windows,MAE,RMSE,median_absolute_error,p95_absolute_error,catastrophic_error_rate_20bpm
P04,learned_router,motion_quality,soft_gate,1563,6.917700270052196,13.352178744743343,3.2985258461293796,30.490136503564774,0.07357645553422905
P04,learned_router,quality_only,soft_gate,1563,6.990976229588482,13.638898625384167,3.300572343477455,29.182232908327272,0.07357645553422905
P04,learned_router,motion_quality,hard_gate,1563,6.999930246488856,12.847430999838146,3.5651632618170765,26.944205527202556,0.07165706973768395
P04,learned_router,motion_only,soft_gate,1563,7.034318762500858,13.593793223904058,3.2216425498207,30.612850256270104,0.0780550223928343
P04,learned_router,quality_only,hard_gate,1563,7.090976327904624,12.84849070272167,3.7091035834625075,25.57658981585585,0.0710172744721689
P04,learned_router,motion_only,hard_gate,1563,7.422860849334298,14.028943518042244,3.236835820152635,35.25446149373692,0.09213051823416507
P04,foundation_expert,NA,NA,1563,7.656188753572771,13.353930110811497,3.9482970164579996,27.428020902170484,0.0799744081893794
P04,classical_expert,NA,NA,1563,7.994091679565628,16.777067397708,3.2916392363816342,32.627097434276926,0.09404990403071017
P07,learned_router,quality_only,hard_gate,1490,7.031074428137056,10.780838980557801,4.409208329732763,25.63804098411499,0.07718120805369127
P07,learned_router,motion_quality,hard_gate,1490,7.243102963705885,11.339279105556196,4.3650793651000015,26.556864925291325,0.08456375838926175
P07,learned_router,motion_quality,soft_gate,1490,7.267764158715631,12.230542284852518,3.9538462070414226,25.835092768528387,0.087248322147651
P07,learned_router,motion_only,soft_gate,1490,7.307202024919563,12.274436981235084,3.9368833213915266,25.910970618155872,0.08926174496644296
P07,learned_router,quality_only,soft_gate,1490,7.338441487624821,12.309998678074061,3.9365439071111084,27.029076226700113,0.09060402684563758
P07,foundation_expert,NA,NA,1490,7.3511663349247325,11.689777901548457,4.146160359763087,27.941051281450772,0.0959731543624161
P07,learned_router,motion_only,hard_gate,1490,7.663365943545924,12.02721504153236,4.3650793651000015,28.219196969397643,0.1
P07,classical_expert,NA,NA,1490,8.686032179260987,16.485759518037487,4.373663430164285,29.089952899707853,0.08926174496644296
P16,learned_router,motion_quality,hard_gate,1504,7.273112653937369,12.696794637938645,3.28349434959037,30.887889159757858,0.09109042553191489
P16,foundation_expert,NA,NA,1504,7.296121143162182,12.114597428250624,3.755434022052917,27.913318178179317,0.08976063829787234
P16,learned_router,motion_quality,soft_gate,1504,7.42909973937766,14.001480496754324,2.6418691563075853,33.78735039681941,0.10638297872340426
P16,learned_router,quality_only,hard_gate,1504,7.535595390460588,13.388135114320972,3.339558016590331,31.402971216389467,0.09375
P16,learned_router,quality_only,soft_gate,1504,7.614749304478928,14.726802560388448,2.712908685959995,35.15365709789383,0.10505319148936171
P16,learned_router,motion_only,soft_gate,1504,7.7741937555510985,14.604741470942832,2.6250266983895116,34.84157683417671,0.1196808510638298
P16,learned_router,motion_only,hard_gate,1504,7.882442550726419,13.619478869532006,3.3175857632263117,33.434430416368485,0.11768617021276596
P16,classical_expert,NA,NA,1504,10.624072518976911,20.824472470987985,3.1372536922594634,50.1533363276453,0.15691489361702127
P17,foundation_expert,NA,NA,1506,4.2957413516586636,6.919553975503184,2.3209523653155983,16.342693232134966,0.0351925630810093
P17,learned_router,motion_quality,soft_gate,1506,4.890054405709016,9.053334218840513,1.7580601855338145,22.349066084452073,0.06440903054448871
P17,learned_router,motion_quality,hard_gate,1506,4.919604838697534,8.626238205382524,2.287757725544431,20.32106640971621,0.05444887118193891
P17,learned_router,motion_only,soft_gate,1506,4.933321610753477,9.150610455293979,1.7082394448503706,23.416539832515983,0.06640106241699867
P17,learned_router,quality_only,soft_gate,1506,4.954134880352763,9.371623650877266,1.7143571863323217,23.842951647611486,0.07370517928286853
P17,learned_router,motion_only,hard_gate,1506,5.187078437397963,9.207105691333641,2.1261516654529373,22.20383866201842,0.0703851261620186
P17,learned_router,quality_only,hard_gate,1506,5.615031486872678,11.033356321905666,2.167296052190558,27.446286372333862,0.07237715803452856
P17,classical_expert,NA,NA,1506,6.962565144649454,13.811608555767164,2.1207177814000033,38.392906165941675,0.11885790172642763
P18,classical_expert,NA,NA,1566,5.176650774616882,11.141274860470304,1.9993747791793695,25.32279667294643,0.07279693486590039
P18,learned_router,motion_only,hard_gate,1566,5.284764077654207,9.924087451310292,2.169087185722205,23.922375029030885,0.07407407407407407
P18,learned_router,motion_quality,soft_gate,1566,5.521841746808348,9.69893215541608,2.6523454848369994,22.05603105797238,0.06066411238825032
P18,learned_router,motion_only,soft_gate,1566,5.540089145636654,9.788497664968423,2.6460186048751524,22.51494930669015,0.06513409961685823
P18,learned_router,quality_only,soft_gate,1566,5.578422895042284,9.804489273317788,2.6810110017159374,22.09719119489865,0.06513409961685823
P18,learned_router,motion_quality,hard_gate,1566,5.791775583101714,10.104051143077799,2.875131151381808,23.6077939244458,0.07343550446998723
P18,learned_router,quality_only,hard_gate,1566,6.7640026005754645,10.838536832107495,3.7232310600413356,25.3173295197261,0.08492975734355045
P18,foundation_expert,NA,NA,1566,7.441595526015931,11.486042427896487,4.116765698035447,27.835356635457668,0.0983397190293742
